label,text,posneg,
TRUE,Sharron Angle would eliminate the Department of Education.,TRUE,
mostly-true,An illegal immigrant who gains admission at a public college takes class space away from students who are legal residents.,TRUE,
FALSE,On whether BPs $20 billion fund to compensate oil spill victims is a slush fund.,FALSE,
FALSE,On in-state tuition for illegal immigrants.,FALSE,
pants-fire,Says Jacky Rosen has refused to tell us whether she supports Bernie Sanders or Hillary Clinton.,FALSE,
TRUE,The five economic indicators that the federal government tracks - for the first time since August 2006 - were positive this October.,TRUE,
half-true,Medicare has at least $80 billion worth of fraud a year. That's a full 20 percent of every dollar that's spent on Medicare goes to fraud.,TRUE,
barely-true,"In slashing $1.7 billion from Social Security, Rep. Jim Renacci may end up forcing the entire agency to ... shut down for a month, causing seniors to not get their benefits on time, halting claims processing, and forcing new retirees and disabled workers into a backlog.",TRUE,
barely-true,"Says Sen. Bill Nelson voted to spend $144,541 to see how monkeys react under the influence of cocaine.",TRUE,
FALSE,What were the old annual deficits under Republicans have now become the monthly deficits under Democrats.,FALSE,
mostly-true,Says(President) Reagans second inaugural was moved inside the Capitol. It was. Because of a terrible snowstorm.,TRUE,
TRUE,"Says a poll shows that without a name attached, Democrats are just one point behind Gov. John Kasich.",TRUE,
half-true,There were more people at the Air and Space Museum than at a rally against the health care bills.,TRUE,
half-true,People for the Ethical Treatment of Animals estimates 200 animals will be spared annually as the result of former President Bill Clinton adopting a vegan diet.,TRUE,
pants-fire,Says Texas did not bail out a loan program he oversaw as state agriculture commissioner.,FALSE,
FALSE,We spend almost twice as much per capita on health care as do the people of any other country.,FALSE,
FALSE,On repealing the 17th Amendment,FALSE,
half-true,"Says Bruce Starr voted to throw 6,000 Oregonians off unemployment.",TRUE,
half-true,We need to pass a carbon tax to stop climate change. Break up the Wall Street banks. And stop the government spying on innocent Americans. Cory Booker doesnt support any of these ideas.,TRUE,
pants-fire,"Says while serving in the city council, Rachel Zenzinger voted to use tax dollars to take a taxpayer-funded junket to China.",FALSE,
mostly-true,"The governor is trying to take credit for recent actions taken by these companies. The problem is that for all three companies, the decision to move or stay in New Jersey happened before Chris Christie became governor.",TRUE,
TRUE,My property taxes went down largely because my technical college portion went down 35.5% because of the money we put in at state.,TRUE,
half-true,"Says more than 1 million Texans are jobless, the state has its highest unemployment rate in more than 20 years and joblessness doubled on Rick Perrys watch.",TRUE,
mostly-true,"He has asked for $932-million of earmark pork-barrel spending, nearly a million dollars for every day that hes been in the United States Senate.",TRUE,
mostly-true,"Canada ""does spills into their water to practice in the event that this would happen. That is not allowed in the United States.""",TRUE,
FALSE,"Lots of studies seem to indicate that minors find it very easy to get marijuana, easier than to get alcohol.",FALSE,
mostly-true,"The geography of poverty has changed fundamentally in the last 15 years, with more of it concentrated in fragile and conflict states.",TRUE,
half-true,"Russia has tremendous numbers of nuclear warheads 1,800, by the way where they expanded, and we didnt.",TRUE,
mostly-true,"For every dollar we invest in Head Start, we get $5 to $7 back into our economy.",TRUE,
FALSE,Says President Obamas decision to not issue a permit for the Keystone XL pipeline meant we were denied the ability immediately to reduce prices at the pump.,FALSE,
TRUE,Says she is the subject of 60 books.,TRUE,
half-true,Seven out of the 10 states with the lowest unemployment rates (have) Republican governors That approach that Republicans are using is working.,TRUE,
TRUE,"In writing his book, Gov. Perry pointed out that by any measure Social Security has been a failure.",TRUE,
pants-fire,The stimulus created zero jobs.,FALSE,
FALSE,The health care law reduces the number of uninsured in America by 3 percent for how much money? $2 trillion.,FALSE,
FALSE,We import more oil today than ever before.,FALSE,
TRUE,"Will Hurd tends to have a 96 percent straight Republican, straight party voting record.",TRUE,
mostly-true,Says Chris Christie vetoed Planned Parenthood funding five times over the course of his governorship.,TRUE,
TRUE,Greece is not a big economy. Its about the size of metropolitan Miami.,TRUE,
mostly-true,Ive cut the budget of the (lieutenant governors) office by more than half.,TRUE,
TRUE,Forty cents of every dollar being spent by the federal government is being borrowed from my children.,TRUE,
TRUE,Cigarette butts poison babies and small children because of the nicotine in them.,TRUE,
barely-true,"One of the things I would immediately do is bring back the warrior class -- Petraeus, McChrystal, Mattis, Keane, Flynn. ... Every one was retired early because they told President Obama things that he didnt want to hear.",TRUE,
pants-fire,"Says under his budget-repair bill, collective bargaining is fully intact.",FALSE,
TRUE,"Since I took office, over 319,000 new private sector jobs have been created in Georgia with nearly 93,000 of those coming in the past 12 months.",TRUE,
mostly-true,And it's going to be difficult for us to do this as long as we're spending $275 million a day on a war that should have never been authorized...,TRUE,
half-true,"Today in Selma, Ala., the poverty rate is roughly nine times that of whites.",TRUE,
FALSE,Says President Obama was proposing pinprick strikes for military intervention in Syria.,FALSE,
FALSE,Says there are no political prisoners in Cuba.,FALSE,
pants-fire,Says Illinois Democrat David Gill would end Medicare.,FALSE,
TRUE,"First, he said he would leave residual forces in Iraq, and now he says he wouldn't.",TRUE,
half-true,Says last year the graduation rate for our combined six-district footprint jumped 5.5 percent.,TRUE,
mostly-true,"President Obama's own director of national intelligence, Admiral Blair, put it this way: 'High-value information came from interrogations in which those methods were used and provided a deeper understanding of the al-Qaida organization that was attacking this country.'",TRUE,
mostly-true,"When he (Donald Trump) asked Florida to have casino gambling, we said no.",TRUE,
half-true,Milwaukee police use deadly force at a rate that is among the lowest in the country.,TRUE,
TRUE,"When Sen. Edwards ran in 2004, he wasn't for universal health care. I'm glad he is now.",TRUE,
mostly-true,Says Barbara Buono voted to raise her own pay 40 percent.,TRUE,
barely-true,Says Texas has the most uninsured people of any state -- 6 million.,TRUE,
mostly-true,Ill be running against a career politician.,TRUE,
TRUE,Says Multnomah County libraries are open 44 hours per week the lowest of any library in the four-county region.,TRUE,
TRUE,Says Mike Huckabee appeared in diabetes infomercials to endorse cures and treatments that no health agency supports.,TRUE,
FALSE,"Says EPA regulation of greenhouse gases will endanger 575 Texas dairy facilities, 58 swine operations, 1,300 corn farms and 28,000 beef cattle operations.",FALSE,
pants-fire,Facebook has unveiled new rules to stop their users from creatingposts related in any way to religion.,FALSE,
pants-fire,"The Democrats are very sly. (in New Hampshire) we have same day voter registration, and to be honest, when Massachusetts elections are not very close, theyre busing them in all over the place.",FALSE,
half-true,California has added twice as many jobs as Florida over the past year.,TRUE,
mostly-true,"In the past two years in Congress, Ive written more bills, passed more amendments on the floor of the House and enacted more of my bills into law than any other member of the House.",TRUE,
barely-true,"Says Travis County Commissioner Gerald Daugherty claims to have taken a pay cut, but for 2016, he voted to raise his salary by 19.6 percent.",TRUE,
FALSE,"The Employment Non-Discrimination Act discriminates against Christian daycare, Christian parents, Christian business owners, and the rights of religious freedom.",FALSE,
TRUE,"Now, I also support the Bush tax cuts. Sen. McCain voted against them originally. He now believes they should be made permanent. I'm glad he agrees they should be made permanent.",TRUE,
mostly-true,Irans defense budget is $30 billion. Our defense budget is closer to $600 billion.,TRUE,
half-true,Brookhaven homeowners pay hundreds of dollars less in property taxes compared with owners of the same-value homes in unincorporated DeKalb County.,TRUE,
TRUE,The mosquito population in South Florida is larger than it is in many other communities in the country.,TRUE,
half-true,Says health insurance premiums will rise under Obamacare.,TRUE,
mostly-true,"Says Erv Nelson voted yes on the pro-amnesty SJR 21, a bill urgingCongress to provide citizenship for those residing illegally in our country.",TRUE,
mostly-true,Virginia is the number one state per capita in screening out people with mental illness from gun purchases.,TRUE,
half-true,Missouri is the state with the lowest paid workers.,TRUE,
mostly-true,"The average student loan debt in Texas is over $22,000...the cost of an average size pickup truck. But unlike car owners, students are not allowed to refinance their loans at lower rates.",TRUE,
mostly-true,Says Rick Scotts proposal for election reform only mandates 48 hours of early voting.,TRUE,
half-true,On whether the state should ramp up borrowing to build roads.,TRUE,
mostly-true,People think AIDS is done --its not done.,TRUE,
half-true,Electricity rates are 40 percent higher in states that have required utility companies to use a certain amount of renewable energy such as solar power.,TRUE,
mostly-true,"South Carolina has a labor shortage, specifically in the meatpacking industry.",TRUE,
TRUE,"When the City and the Fairmount Park Conservancy invested $5 million in Hunting Park, crime went down 89 percent within a half mile radius of the park over the next three years.",TRUE,
mostly-true,"On day one, six people were able to sign up for health insurance through the federal marketplace.",TRUE,
TRUE,Lets start with the premise that Rhode Island already has one of the 10 strictest [gun laws] amongst all the states.,TRUE,
barely-true,"Says that in her speech to the pro-Israel group AIPAC, Hillary Clinton had one line on the Palestinian people.",TRUE,
TRUE,"Says in our region, 2011 was worst drought year ever recorded.",TRUE,
FALSE,"In the 1980s, The lowest income people had the biggest gains.",FALSE,
half-true,Florida has issued more than 3 million conceal carry permits in the past 30 years. Only 168 have been revoked.,TRUE,
FALSE,"For every one job created under the Obama administration, 75 people went on food stamps.",FALSE,
barely-true,"Says that after she declared her candidacy for Congress, the redistricting process was manipulated to allow incumbent politicians to guarantee their re-election.",TRUE,
half-true,Says Chris Koster opposes right-to-work efforts because he has taken $8 million from union bosses.,TRUE,
half-true,Says Bush Jr. handed Obama a $1.4 trillion deficit and Obama reduced Bush Jr.s deficit to just $492 billion.,TRUE,
half-true,Says President Barack Obama made unilateral changes to Obamacare 38 times.,TRUE,
barely-true,Broward Countys unemployment rate of 5.3 percent is the lowest in Florida.,TRUE,
half-true,Obamacare could force thousands of volunteer fire stations to cut service or close entirely!,TRUE,
barely-true,The Wisconsin Retirement System for public employees is a self-funded pension plan and its the money of the workers that funds it.,TRUE,
barely-true,Ninety-five percent of the money used for union-operated worker training centers comes from employers.,TRUE,
TRUE,"If we got solar energy from an area of the Southwestern desert 100 miles on a side, that would be enough, in and of itself, to provide 100 percent of all the electricity needs for the United States of America in a full year.",TRUE,
barely-true,"I helped pass what, if enacted, would be the largest tax cut in Texas history through the State Senate.",TRUE,
barely-true,"Under Ryan plan,those 54 and younger would receive the same kind of healthcare options now enjoyed by members of Congress.",TRUE,
TRUE,Says Bernie Sanders was there when it came to (same-sex) marriage 20 years ago. ... He was there when it wasnt popular.,TRUE,
mostly-true,David Dewhurst is the first lieutenant governor in history to have a personal security detail.,TRUE,
FALSE,The administration has issued rules for $1 abortions in ObamaCare and requires all persons enrolled in insurance plans that include elective abortion coverage to pay an abortion premium.,FALSE,
barely-true,Overwhelming Democrat and Republican votes in 2011 for legislation in two special sessions on jobs demonstrated the bipartisan nature of the Wisconsin Legislature.,TRUE,
FALSE,Says Gov. Rick Perry has never held a private-sector job.,FALSE,
barely-true,Says President Obama promised hed keep unemployment below 8 percent if the stimulus passed.,TRUE,
half-true,Says Indiana Gov. Mike Pence advocated diverting taxpayer dollars to so-called conversion therapy.,TRUE,
half-true,"Says Ted Cruz has pledged to eliminate the U.S. Department of Education, which would end federal aid to college students.",TRUE,
mostly-true,We are in the bottom 10 in dollars in the classroom and the top 10 in dollars in the bureaucracy and red tape.,TRUE,
barely-true,"With 320,000 net Ohio manufacturing jobs lost, (Sen. Rob) Portman calls NAFTA a proven success.",TRUE,
mostly-true,Kathryn Starkey only attended half of those meetings.,TRUE,
FALSE,Illegal immigration costs state taxpayers over $3 billion every year.,FALSE,
FALSE,"Says a liberal immigration reform group endorsed his GOP primary opponent, Dave Brat.",FALSE,
FALSE,Welders make more money than philosophers.,FALSE,
TRUE,Teddy Roosevelt first called for (health care) reform nearly a century ago.,TRUE,
barely-true,Says Mike Dovilla supports a plan that could allow a foreign corporation to take over the Ohio Turnpike Â,TRUE,
TRUE,"Charlie Crist broke the quarter ""record for fundraising in a U.S. Senate race in Florida.""",TRUE,
barely-true,The Murray-Ryan deal is the first divided-government budget agreement since 1986.,TRUE,
FALSE,The American people spoke pretty loudly. They said stop all the looming tax hikes....,FALSE,
FALSE,"For the hour after the (Jan. 14) debate, Debra Medina was the No. 1 search on Google and for the remainder of that night No. 3.",FALSE,
half-true,"Says state budget deal between Texas House and Senate leaders funds nursing homes, our public schools and universities and provides financial aid for college students.",TRUE,
TRUE,"When (John) Brennan ... was asked directly Is there any geographic limitation to your drone strike program? Brennan responded and said, no, there is no limitation.",TRUE,
TRUE,"Says Time magazine called him ""one of America's best governors.""",TRUE,
TRUE,On supporting the Supreme Court abortion decision Roe v. Wade,TRUE,
FALSE,After four years of a celebrity president 85% (of recent college grads are) moving back in with their parents.,FALSE,
barely-true,Hispanic unemployment has been ticking down from an all-time high of 13.9 percent because of the policies weve implemented.,TRUE,
half-true,Says Rick Perry co-chaired Al Gores campaign for president.,TRUE,
FALSE,I was totally against the war in Iraq.,FALSE,
TRUE,"There have been literally hundreds of new tax preferences and loopholes added to the code since 1986, last time we did this.",TRUE,
FALSE,Says Suzanne Bonamici supports the $500 billion cut to Medicare passed last year.,FALSE,
barely-true,Gas will reach $4 a gallon under a cap-and-trade plan.,TRUE,
barely-true,Were losing as many people to heroin and opioid overdoses as we lost to the AIDS epidemic at its peak.,TRUE,
half-true,Says Democratic Senate candidate Bruce Braley voted to cut $700 billion from Medicare to support Obamacare.,TRUE,
half-true,Preventive care coverage under the Affordable Care Act has already helped Granite Staters save money and live healthier lives.,TRUE,
barely-true,Says 25 percent of U.S. Muslims agreed that violence against Americans here in the United States is justified as a part of the global jihad.,TRUE,
FALSE,"1928 was last time Republicans had the White House, the House and the Senate.",FALSE,
FALSE,Hillary Clinton and Barack Obama want to raise taxes on all income brackets.,FALSE,
FALSE,U.S. Sen. Saxby Chambliss votes more with Democrats than with conservatives.,FALSE,
TRUE,"For the second quarter in a row, my campaign has raised more money than any other challenger in the nation and brought our fundraising total to over $800,000.",TRUE,
barely-true,Says the recall elections that aimed to remove him and other Republican officials from office cost tens of millions of dollars to run.,TRUE,
mostly-true,"In Wisconsin, only half of all the adults with serious psychological distress received mental health treatment or medication.",TRUE,
TRUE,She stood by ground zero workers who sacrificed their health after so many sacrificed their lives and kept standing till this administration took action.,TRUE,
pants-fire,"On gift taking,Bob McDonnell took a fraction of what (Tim) Kaine took.",FALSE,
FALSE,This is the first time since World War II that five nuclear-powered aircraft carriers were docked together.,FALSE,
mostly-true,"While Exxon Mobil has 40 pages on its media response strategy, its plan for resource protection is only five pages long and its plan for oil removal is just nine pages long.",TRUE,
barely-true,"By voting to approve [Question 1], we can . . . save 900 jobs at Twin River.",TRUE,
barely-true,There hasnt been a Republican in the legislature or the City Council in Providence in over 30 years.,TRUE,
half-true,Ive never voted for a Democrat when there was a Republican on the ballot.,TRUE,
half-true,"Says U.S. Senate rival Tommy Thompson wants to give a new $265,000 tax cut to millionaires like himself while raising taxes on the middle class.",TRUE,
barely-true,The (economic stimulus) legislation could open billions of taxpayer dollars to left-wing groups like the Association of Community Organizations for Reform Now (ACORN).,TRUE,
barely-true,Exposure to the electromagnetic fields from power lines has been associated with childhood leukemia and other diseases.,TRUE,
TRUE,"At the 50 Milwaukee schools serving at least 80% African-American and at least 80% low income students, the reading proficiency is 8%.",TRUE,
mostly-true,Says Obama replaced the American flag on the tail of his plane with his campaign logo.,TRUE,
half-true,Atlanta Mayor Kasim Reed held not one conversation with the public about the new Falcons stadium project,TRUE,
pants-fire,I never said that Marco Rubio was Mark Zuckerbergs personal senator.,FALSE,
barely-true,The only two (Donald Trump tax returns) we have show that he hasnt paid a penny in taxes.,TRUE,
half-true,"In a budget deal struck in 2011 a trillion dollars of cuts went into effect immediately, and then a special committee was set up ... to get agreement on another $3 trillion of cuts.",TRUE,
FALSE,"If you're a small business and don't ""adopt the health care plan that Senator Obama mandates, he's going to fine you.""",FALSE,
pants-fire,Weve lost 26 million jobs since (Obamas) been president.,FALSE,
half-true,"Whether in Illinois or Washington, Barack Obama has bridged partisanship to bring about significant reform.",TRUE,
barely-true,"I have cut taxes 63 times, including a 2006 property tax reduction that ranks as the largest in state history.",TRUE,
mostly-true,New Jersey has the largest transit system in the entire country.,TRUE,
FALSE,"New jobs numbers are in, and Wisconsin has fallen to dead last in Midwest job growth.",FALSE,
FALSE,Under the Baucus bill ... federal funds would subsidize coverage of elective abortions.,FALSE,
mostly-true,"Four balanced budgets in a row, with no new taxes for anyone. The best job growth in 12 years. Nearly 130,000 new private-sector jobs. Merit pay to reward New Jerseys best teachers, and the most education funding ever.",TRUE,
FALSE,Cap-and-trade is wildly unpopular with Americans.,FALSE,
TRUE,By registration fewer than 20 percent of Florida voters are Independents.,TRUE,
FALSE,Teachers were not involved in developing the Common Core State Standards.,FALSE,
barely-true,"As a senator, Hillary Clinton paid women less than the men in her office.",TRUE,
barely-true,Mark Warners record is one of acting against the Keystone XL pipeline.,TRUE,
FALSE,This (parent trigger) legislation was drafted by President Obamas top advisers. It was drafted by President Clintons top advisers.,FALSE,
mostly-true,Says Ron Johnson voted to turn Medicare into a voucher program.,TRUE,
mostly-true,Says Bernie Sanders advocated putting Iranian troops into Syria to try and resolve the conflict there. Putting them right on the doorstep of Israel.,TRUE,
mostly-true,Barack Obama's church gave a lifetime achievement award to Louis Farrakhan.,TRUE,
barely-true,Toothpaste contains the poison substance of fluoride.,TRUE,
TRUE,"Today, we import triple the amount of oil than we had on the day Senator McCain took office.",TRUE,
half-true,"Shutdowns are a normal part of the constitutional process, with 12 shutdowns under Democratic House Speaker Tip ONeill and two during his own speakership.",TRUE,
half-true,"Since 2007, Texas has gained 440,000 people while Maryland has lost 20,000.",TRUE,
half-true,Said state insurance commissioner candidate Ralph Hudgens fights hard to strip women of life-saving coverage such as mammograms.,TRUE,
mostly-true,"My two appointments to the Florida Supreme Court, Raul Cantero and Kenneth Bell, have earned reputations as its most consistent conservatives.",TRUE,
barely-true,Says legislation supported by gay rights activists would strip mother and father from future Texas birth certificates.,TRUE,
barely-true,Says Gerald Daugherty advocated lowering the penalty for crimes like strangulation in domestic violence cases because they just throw more people into the jail system.,TRUE,
pants-fire,"Mercury is used in vaccines, and there is no safe level of mercury.",FALSE,
TRUE,Says four-year terms for City Council members are the norm in most cities of our size.,TRUE,
TRUE,"Tommy Thompson is the father of welfare reform, creating the groundbreaking Wisconsin Works program in Wisconsin that became the model for national and international reforms.",TRUE,
TRUE,We now sell more products made in America to the rest of the world than ever before.,TRUE,
pants-fire,Theres no wildlife in the Arctic National Wildlife Refuge.,FALSE,
mostly-true,"Right now, in every major poll, national poll and statewide poll done in the last month, six weeks, we are defeating Trump, often by big numbersand always at a larger margin than Secretary Clinton is.",TRUE,
barely-true,I have fought for our shared values without being an ideologue or a partisan,TRUE,
TRUE,The costs of cancer and all affiliated issues are over $20 billion a year to this state.,TRUE,
FALSE,On a cap-and-trade plan.,FALSE,
FALSE,The left is blatantly attempting to disrupt Georgias elections.,FALSE,
half-true,"Says Obamas net neutrality proposalputs the government in charge of determining Internet pricing, terms of service and what types of products and services can be delivered.",TRUE,
TRUE,President Barack Obama reduced the cost of prescription drugs for nearly 3.6 million Americans in 2011.,TRUE,
barely-true,Tampa Bay isleading the state in jobs creation.,TRUE,
half-true,"Earmarked dollars have doubled just since 2000, and more than tripled in the last 10 years.",TRUE,
FALSE,Says Ted Cruz is a supporter of legalizing people that are in this country illegally and proposed giving them work permits.,FALSE,
mostly-true,"Our economy (in Louisiana) has grown 50 percent faster than the national GDP, even since the national recession.",TRUE,
FALSE,On whether he wrote a provision that allowed AIG to dole out bonuses.,FALSE,
pants-fire,[The] ACLU and atheists in Denver are demanding the NFL stop [Tim Tebow] from praying on the sidelines.,FALSE,
half-true,"Lois Frankel spent over $13,000 in taxpayer money on a marble shower in a private bathroom with her own toilet.",TRUE,
pants-fire,"Wisconsin uses voting machines that are outlawed, they are illegal.",FALSE,
mostly-true,Half of Oregon university students are on Pell Grants.,TRUE,
barely-true,"Says uncompensated health care costs absorbed by Texas hospitals are adding $1,800 a year to Texas private insurance rates.",TRUE,
half-true,Invested $90 million in traffic fixes without raising taxes.,TRUE,
TRUE,"Countries bombed: Obama 7, Bush 4",TRUE,
FALSE,U.S. Rep. Debbie Wasserman Schultz has blamed the Republicans for the creation of Hamas.,FALSE,
pants-fire,"A report in Navy Times said that 7.3 percent of Army, Navy and Marines have thought about attempting suicide.",FALSE,
barely-true,We cut property taxes by one-third in the state of Texas while Ive been governor.,TRUE,
mostly-true,Says Texas passed a state Dream Act before any other state.,TRUE,
TRUE,"Hillsboroughs Public Transportation Commission has a rule that says cabbies have to wear socks. I mean, please. Come on.",TRUE,
barely-true,"Increasing the min. wage to $15 an hour would reduce spending on food stamps, public housing and other programs by over $7.6 billion a year.",TRUE,
half-true,Says 80 journalists have been killed in Mexico in the last decade.,TRUE,
barely-true,U.S. Rep. Allen West wants to bring back earmarks.,TRUE,
barely-true,"Almost 1,000 people a day are moving to Florida because they are more free here than they are in some other states.",TRUE,
mostly-true,Texas ranks 49th in per-pupil funding among the states.,TRUE,
mostly-true,The Washington Times ... pointed out that we had succeeded where previous administrations had failed on spending cuts.,TRUE,
half-true,"In Flint, Mich., the pipes still havent been replaced. The water is still poisoned.",TRUE,
TRUE,"Here in Virginia, we have the opportunity to become the first state on the East Coast to explore for and produce oil and natural gas offshore.",TRUE,
half-true,Donald Trumps decision to skip the Fox News/Google debate in Des Moines is near unprecedented.,TRUE,
FALSE,The McCain campaign is roughly in the position where Vice President Gore was running against President Bush one week before the election of 2000.,FALSE,
mostly-true,We've won twice as many states. We've won a greater share of the popular vote.,TRUE,
FALSE,"Health care reform: Everything about it is going to raise costs, raise taxes and lower the quality of health care.",FALSE,
barely-true,The city of San Antonio reuses almost 40 percent of its water. You know how much the city of Austin reuses? About 5 percent. And thats not right. We can do better.,TRUE,
FALSE,"Since 1965, the United States has spent untold trillions yet the poverty rate hasnt budged.",FALSE,
half-true,It costs a hell of a lot more money to put somebody in jail than send them to the University of Virginia.,TRUE,
FALSE,New Jersey is the only state in the union that spent less on higher education than it did at the beginning of the decade.,FALSE,
mostly-true,Says he and Mitt Romney always said that we agree with the 2014 deadline for leaving Afghanistan.,TRUE,
mostly-true,Says he said last year theres absolutely no reason for Texas to secede.,TRUE,
barely-true,"Says U.S. Rep. Ann McLane Kuster used $293,000 of taxpayer money to send campaign mail.",TRUE,
barely-true,"Boccieri voted to spend a billion dollars an hour, every hour, for his first 50 days in office",TRUE,
half-true,"While Mandels been busy traveling the country raising campaign money, he hasnt shown up for work.",TRUE,
half-true,Says Bernie Sanders wants higher standards for toy guns than real guns.,TRUE,
TRUE,A million people a year come into the U.S. legally. No other country even comes close to that figure.,TRUE,
half-true,The majority of people in polls do not support Obamacare.,TRUE,
pants-fire,"The Obama administration was actively supporting Al Qaeda in Iraq, the terrorist group that became the Islamic State.",FALSE,
pants-fire,Said Planned Parenthoods early objective was to help kill black babies before they came into the world.,FALSE,
half-true,"Due to the war in Iraq, 4,400 Americans are dead, 30,000 severely wounded and more than 100,000 are suffering from serious health problems related to post traumatic stress syndrome.",TRUE,
TRUE,"When the Republicans were in charge, they actually expanded government health care with the prescription drug program.",TRUE,
half-true,"Says administrator salaries were increased, but other school employees were left behind.",TRUE,
mostly-true,"In 1790, the first Congress, which was packed with framers, required all ship owners to provide medical insurance for seamen; in 1798, Congress also required seamen to buy hospital insurance for themselves. In 1792, Congress enacted a law mandating that all able-bodied citizens obtain a firearm.",TRUE,
barely-true,Ken Mercer wants Sean Hannity and James Dobson included in social studies texts.,TRUE,
FALSE,On the Trans-Pacific Partnership.,FALSE,
barely-true,Says Charlie Crist could have expanded Medicaid after the health care law passed but didnt.,TRUE,
FALSE,"Says that when Congressman (Steve) Cohen took office in 2007, the unemployment rate was at 4.8 percent. The unemployment rate in Shelby County has reached 9.7 percent.",FALSE,
half-true,Hispanic students in Florida perform the best of any Hispanic population in the United States.,TRUE,
half-true,"Says President Obama has grown the federal government payroll by 141,000 workers and wants to add 125,000 more.",TRUE,
mostly-true,"In Florida, when Jeb Bush was governor, state authorities conducted a deeply flawed purge of voters before the presidential election in 2000 and in2004 a plan to purge even more voters was headed off.",TRUE,
pants-fire,Says that Sen. Sherrod Brown is out there egging on a lot of these protesters who are spitting on policemen and going to the bathroom on policemens cars at these protests on Wall Street and other places.,FALSE,
barely-true,"President Obama pledged to go through the budget 'line by line,' but on his watch, non-defense spending has spiraled out of control, increasing by 67 percent in the last year alone.",TRUE,
pants-fire,Says Chuck Hagels nomination as defense secretary has been publicly celebrated by the Iranian government.,FALSE,
TRUE,The Koch brothers are one of the biggest polluters in the country.,TRUE,
FALSE,Says Texas is the only state that exempts jet fuel from its state motor fuels tax.,FALSE,
mostly-true,Says the Austin City Council may give $4 million a year to subsidize a race track.,TRUE,
TRUE,Says A baby in Coos County is two times as likely to be born to a mother who is someone who used tobacco during her pregnancy as is the average baby born in Oregon or the U.S.,TRUE,
half-true,ObamaCare will use your tax dollars to provide free Viagra to convicted rapists and registered sex offenders.,TRUE,
half-true,Says Sen. Kay Bailey Hutchison took 154 private flights all funded by taxpayers though commercial flights were readily available at a fraction of the cost.,TRUE,
TRUE,"From a standpoint of the county government, neither school system has received an increase in funding over the past six years.",TRUE,
FALSE,On reconciliation,FALSE,
mostly-true,Every new Republican member of the U.S. Senate said they will vote to repeal and replace Obamacare.,TRUE,
FALSE,Virginias current unemployment rate is the lowest in Virginia history.,FALSE,
mostly-true,Austin mayoral candidate Steve Adler admitted his law firm worked with Koch Industries for nearly a decade.,TRUE,
pants-fire,"In Providence, R.I., its illegal to sell toothpaste and a toothbrush to the same customer on a Sunday.",FALSE,
TRUE,Trenton politicians cut $1.3 billion from education.,TRUE,
mostly-true,The United States gives $8 million a day to Israel and gives that country a blank check.,TRUE,
FALSE,"A new Colorado law literally allows residents to print ballots from their home computers, then encourages them to turn ballots over to collectors.",FALSE,
mostly-true,"Georgia has lost more than 124,000 jobs and the unemployment rate has increased since the stimulus passed",TRUE,
barely-true,"Says state Rep. Patrick Rose votes 90 percent with liberals, backed the states largest tax increase, proposed nearly $15 billion in government spending and supported Obama-style government-run health care system for Texas.",TRUE,
FALSE,"During the Eisenhower Administration, not a single soldier died in combat.",FALSE,
mostly-true,There is no planned air-conditioned restaurant out on the Lens.,TRUE,
TRUE,On the Keystone XL pipeline,TRUE,
mostly-true,80 percent of North Carolinians are for the living wage,TRUE,
FALSE,"California Senator, Democratic Senator Dianne Feinstein said if she could say to Mr. America and Mrs. America, Give me your guns, Im rounding em up, she would.",FALSE,
FALSE,Says he has supported George Bush more than I have Barack Obama.,FALSE,
mostly-true,"The average fast food worker is 29, and most fast food workers are on some form of public assistance.",TRUE,
half-true,"Says that in the last five years, Texas created more jobs than all other states combined.",TRUE,
FALSE,"By 2015, we will be sending so much interest to China that we will be paying for the entire Peoples Liberation Army.",FALSE,
pants-fire,Not even Tim Kaine is willing to say he trusts Hillary Clinton.,FALSE,
mostly-true,"At the time that (Medicare Part D) was passed (it) was actually less popular than the Affordable Care Act, according to the polls.",TRUE,
FALSE,Says the U.S. Senate has passed a budget over the last three years called the Budget Control Act.,FALSE,
FALSE,Medicare officials have treated Humana and AARP inconsistently on how they can communicate with seniors.,FALSE,
mostly-true,"Huckabee ""was one of the highest taxing governors that we had in this country and rivaling Bill Clinton in terms of the Cato ratings.""",TRUE,
mostly-true,Interior deportations under Obama were down 40 percent and at a nine-year low.,TRUE,
barely-true,Rick Scott got a majority of the Hispanic vote in Florida.,TRUE,
mostly-true,Recent news reports indicate DWI crashes in Austin dropped 23 percent since ridesharing entered the market.,TRUE,
half-true,"In an average grocery store, roughly 75 percent of processed foods contain genetically modified organisms, or GMOs.",TRUE,
pants-fire,"Obama would ""experiment with socialism.""",FALSE,
half-true,A miscarriage is considered an abortion.,TRUE,
FALSE,The Islamic State just built a hotel in Syria.,FALSE,
barely-true,"In reality, there have been no problems whatsoever with the Texas voter ID law.",TRUE,
mostly-true,"An April study found that about 70 percent of ads in this election cycle have been negative [due to SuperPACs], up from only 9 percent through the same period in 2008.",TRUE,
pants-fire,Justice John Roberts Signed Off On Obamas Arrest For Treason.,FALSE,
half-true,All Aboard Florida is receiving millions in Florida taxpayer dollars.,TRUE,
barely-true,Ninety million Americans either arent working or arent looking for work.,TRUE,
TRUE,The Iranians are now saying that what were saying the deal is and what they understand it to be are two different things.,TRUE,
